sentiment,content,processing_result
2,bloody hell think qatari may built many stadiums world cup,"['bloodi', 'hell', 'think', 'qatari', 'may', 'built', 'mani', 'stadium', 'world', 'cup']"
1,aussie fans travel numbers qatar 2022 fifa world cup qatar 2022 months away excitement building ahead first edition tournament middle east arab world like share follow us tag friends,"['aussi', 'fan', 'travel', 'number', 'qatar', '2022', 'fifa', 'world', 'cup', 'qatar', '2022', 'month', 'away', 'excit', 'build', 'ahead', 'first', 'edit', 'tournament', 'middl', 'east', 'arab', 'world', 'like', 'share', 'follow', 'us', 'tag', 'friend']"
0,fifa world cup qatar2022 everything need know qatar country 2022 fifa world cup,"['fifa', 'world', 'cup', 'qatar2022', 'everyth', 'need', 'know', 'qatar', 'countri', '2022', 'fifa', 'world', 'cup']"
1,2022 fifa world cup trophy landed ghana fifa world cup qatar 2022 let go,"['2022', 'fifa', 'world', 'cup', 'trophi', 'land', 'ghana', 'fifa', 'world', 'cup', 'qatar', '2022', 'let', 'go']"
0,predict france win world cup 2022,"['predict', 'franc', 'win', 'world', 'cup', '2022']"
0,fifa world cup qatar 2022 live host guests join discuss trophy arrival,"['fifa', 'world', 'cup', 'qatar', '2022', 'live', 'host', 'guest', 'join', 'discuss', 'trophi', 'arriv']"
1,fifa world cup volunteers kick training lusail stadium considered largest fifa world cup qatar 2022 venues capacity 80 000 fans 20 000 volunteers,"['fifa', 'world', 'cup', 'volunt', 'kick', 'train', 'lusail', 'stadium', 'consid', 'largest', 'fifa', 'world', 'cup', 'qatar', '2022', 'venu', 'capac', '80', '000', 'fan', '20', '000', 'volunt']"
1,courts fiji launches hisense fifa world cup qatar 2022 promotion,"['court', 'fiji', 'launch', 'hisens', 'fifa', 'world', 'cup', 'qatar', '2022', 'promot']"
1,volunteers play significant role upcoming would like wish best proud fact mix best luck guys,"['volunt', 'play', 'signific', 'role', 'upcom', 'would', 'like', 'wish', 'best', 'proud', 'fact', 'mix', 'best', 'luck', 'guy']"
1,qatar 2022 volunteers orientation program almost 20000 volunteers joined celebrated together bangladesh community qatar volunteer members picture,"['qatar', '2022', 'volunt', 'orient', 'program', 'almost', '20000', 'volunt', 'join', 'celebr', 'togeth', 'bangladesh', 'commun', 'qatar', 'volunt', 'member', 'pictur']"
0,qatar 2022 watch australia upcoming fifa world cup matches,"['qatar', '2022', 'watch', 'australia', 'upcom', 'fifa', 'world', 'cup', 'match']"
2,know world cup stadiums qatar built corpses workers accept partner crime shame every journalist participates event,"['know', 'world', 'cup', 'stadium', 'qatar', 'built', 'corps', 'worker', 'accept', 'partner', 'crime', 'shame', 'everi', 'journalist', 'particip', 'event']"
1,fifa partnered algorand deliver nfts represent special moments fifa world cup qatar 2022,"['fifa', 'partner', 'algorand', 'deliv', 'nft', 'repres', 'special', 'moment', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,evertons star andros townsend praises qatars preparations world cup,"['everton', 'star', 'andro', 'townsend', 'prais', 'qatar', 'prepar', 'world', 'cup']"
2,number local farmers stressed set intensify efforts increase production various vegetables cater expected higher demand fifa world cup qatar 2022,"['number', 'local', 'farmer', 'stress', 'set', 'intensifi', 'effort', 'increas', 'product', 'variou', 'veget', 'cater', 'expect', 'higher', 'demand', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,kuwait airways announces 13 daily flights doha early stages fifa world cup,"['kuwait', 'airway', 'announc', '13', 'daili', 'flight', 'doha', 'earli', 'stage', 'fifa', 'world', 'cup']"
2,seems like working together make next world cup ugliest awful kits clearly winner next,"['seem', 'like', 'work', 'togeth', 'make', 'next', 'world', 'cup', 'ugliest', 'aw', 'kit', 'clearli', 'winner', 'next']"
1,smart move great decision specifically remaining nearly 75 days fifa world cup qatar 2022 also whether getting nice,"['smart', 'move', 'great', 'decis', 'specif', 'remain', 'nearli', '75', 'day', 'fifa', 'world', 'cup', 'qatar', '2022', 'also', 'whether', 'get', 'nice']"
2,estimated 6500 migrant workers died construction stadiums facilities fuck right rotten corrupt bastards,"['estim', '6500', 'migrant', 'worker', 'die', 'construct', 'stadium', 'facil', 'fuck', 'right', 'rotten', 'corrupt', 'bastard']"
1,79 days go fans booked match tickets hayya card delivery started excitement getting bigger day day beautiful game bring football fans world back together global pandemic,"['79', 'day', 'go', 'fan', 'book', 'match', 'ticket', 'hayya', 'card', 'deliveri', 'start', 'excit', 'get', 'bigger', 'day', 'day', 'beauti', 'game', 'bring', 'footbal', 'fan', 'world', 'back', 'togeth', 'global', 'pandem']"
1,five world cup stadiums earn 5 stargsas sustainability rating cup 2022,"['five', 'world', 'cup', 'stadium', 'earn', '5', 'stargsa', 'sustain', 'rate', 'cup', '2022']"
1,love seeing two favourite things come together football algo keep good news coming,"['love', 'see', 'two', 'favourit', 'thing', 'come', 'togeth', 'footbal', 'algo', 'keep', 'good', 'news', 'come']"
2,fifa world cup start 79 days qatar giwerzew shown glamorous side country became clear human rights still violated workers still exploited matches,"['fifa', 'world', 'cup', 'start', '79', 'day', 'qatar', 'giwerzew', 'shown', 'glamor', 'side', 'countri', 'becam', 'clear', 'human', 'right', 'still', 'violat', 'worker', 'still', 'exploit', 'match']"
1,fifa world cup qatar 2022 fun facts know winning country world cup receives gold plated replica solid gold trophy player team team receives medal,"['fifa', 'world', 'cup', 'qatar', '2022', 'fun', 'fact', 'know', 'win', 'countri', 'world', 'cup', 'receiv', 'gold', 'plate', 'replica', 'solid', 'gold', 'trophi', 'player', 'team', 'team', 'receiv', 'medal']"
1,qatar airways kicks upbeat fifa world cup qatar 2022 campaign unite football fans music innovation,"['qatar', 'airway', 'kick', 'upbeat', 'fifa', 'world', 'cup', 'qatar', '2022', 'campaign', 'unit', 'footbal', 'fan', 'music', 'innov']"
1,fifa world cup trophy arrived tehran promotional tour part 32 countries qualified world cup finals cup 2022,"['fifa', 'world', 'cup', 'trophi', 'arriv', 'tehran', 'promot', 'tour', 'part', '32', 'countri', 'qualifi', 'world', 'cup', 'final', 'cup', '2022']"
1,qatar airways kicks fifa world cup qatar 2022 campaign fans invited step qatar airways virtual reality experience compete online game win fifa world cup package qatar airways kicks fifa world cup qatar 2022 campaign,"['qatar', 'airway', 'kick', 'fifa', 'world', 'cup', 'qatar', '2022', 'campaign', 'fan', 'invit', 'step', 'qatar', 'airway', 'virtual', 'realiti', 'experi', 'compet', 'onlin', 'game', 'win', 'fifa', 'world', 'cup', 'packag', 'qatar', 'airway', 'kick', 'fifa', 'world', 'cup', 'qatar', '2022', 'campaign']"
1,tickets available first come first served basis book tickets,"['ticket', 'avail', 'first', 'come', 'first', 'serv', 'basi', 'book', 'ticket']"
1,mcdonald fifa sponsors world cup qatar 2022 mcdonald biggest fast food company world fifa sponsor qatar 2022 world cup continuing agreement began 2018 russia,"['mcdonald', 'fifa', 'sponsor', 'world', 'cup', 'qatar', '2022', 'mcdonald', 'biggest', 'fast', 'food', 'compani', 'world', 'fifa', 'sponsor', 'qatar', '2022', 'world', 'cup', 'continu', 'agreement', 'began', '2018', 'russia']"
0,countdown 2022 fifa world cup 80 days left go excited,"['countdown', '2022', 'fifa', 'world', 'cup', '80', 'day', 'left', 'go', 'excit']"
2,advance qatar 2022 working closely states region help assure optimization flow significant international air traffic expected small update recent developments,"['advanc', 'qatar', '2022', 'work', 'close', 'state', 'region', 'help', 'assur', 'optim', 'flow', 'signific', 'intern', 'air', 'traffic', 'expect', 'small', 'updat', 'recent', 'develop']"
0,unveils home away kits argentina germany three teams check kits,"['unveil', 'home', 'away', 'kit', 'argentina', 'germani', 'three', 'team', 'check', 'kit']"
0,central film qatar 2022 followed activity focused fan rituals,"['central', 'film', 'qatar', '2022', 'follow', 'activ', 'focus', 'fan', 'ritual']"
1,get ready rock history made records broken legends shall rise journey greatest show earth awaits,"['get', 'readi', 'rock', 'histori', 'made', 'record', 'broken', 'legend', 'shall', 'rise', 'journey', 'greatest', 'show', 'earth', 'await']"
1,brand new arrived fifa world cup qatar 2022 sticker albums stickers start collection bulstrodes,"['brand', 'new', 'arriv', 'fifa', 'world', 'cup', 'qatar', '2022', 'sticker', 'album', 'sticker', 'start', 'collect', 'bulstrod']"
2,embarrassing ever rooms airport slots open borders holidays residence host country amateur photoshop de de,"['embarrass', 'ever', 'room', 'airport', 'slot', 'open', 'border', 'holiday', 'resid', 'host', 'countri', 'amateur', 'photoshop', 'de', 'de']"
1,yaay got hayya card super excited fifa world cup qatar 2022 2022,"['yaay', 'got', 'hayya', 'card', 'super', 'excit', 'fifa', 'world', 'cup', 'qatar', '2022', '2022']"
2,checking fifa account tickets like parent checking sleeping infant seat assignment match thus far,"['check', 'fifa', 'account', 'ticket', 'like', 'parent', 'check', 'sleep', 'infant', 'seat', 'assign', 'match', 'thu', 'far']"
2,monday get ready light hearted must guide looks everything human rights issues cost pint game,"['monday', 'get', 'readi', 'light', 'heart', 'must', 'guid', 'look', 'everyth', 'human', 'right', 'issu', 'cost', 'pint', 'game']"
1,restaurant groups preparing fifa world cup qatar 2022 caterer middle east,"['restaur', 'group', 'prepar', 'fifa', 'world', 'cup', 'qatar', '2022', 'cater', 'middl', 'east']"
1,national teams eliminated group stage next fifa world cup qatar 2022 receive sum 10 5m comprising 2 5m participation fees 8m group stage,"['nation', 'team', 'elimin', 'group', 'stage', 'next', 'fifa', 'world', 'cup', 'qatar', '2022', 'receiv', 'sum', '10', '5m', 'compris', '2', '5m', 'particip', 'fee', '8m', 'group', 'stage']"
1,best fifa world cup qatar 2022 action astro,"['best', 'fifa', 'world', 'cup', 'qatar', '2022', 'action', 'astro']"
0,fifa world cup qatar 2022 countdown 79 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '79', 'day', 'kick']"
1,official sponsor fifa world cup qatar 2022 also offering customers exclusive chance win tickets fifa world cup qatar 2022 matches offers applicable 30th august 2022 18th september 2022,"['offici', 'sponsor', 'fifa', 'world', 'cup', 'qatar', '2022', 'also', 'offer', 'custom', 'exclus', 'chanc', 'win', 'ticket', 'fifa', 'world', 'cup', 'qatar', '2022', 'match', 'offer', 'applic', '30th', 'august', '2022', '18th', 'septemb', '2022']"
1,best fifa world cup qatar 2022 action astro lt content data gt sports pack customers get complimentary access qatar 2022,"['best', 'fifa', 'world', 'cup', 'qatar', '2022', 'action', 'astro', 'lt', 'content', 'data', 'gt', 'sport', 'pack', 'custom', 'get', 'complimentari', 'access', 'qatar', '2022']"
1,journey begun next stop greatest football event earth fifa world cup qatar 2022,"['journey', 'begun', 'next', 'stop', 'greatest', 'footbal', 'event', 'earth', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,kuwait airways announced would operate 13 daily flights doha transport football fans attending fifa world cup qatar 2022 number flights would decrease tournament progresses,"['kuwait', 'airway', 'announc', 'would', 'oper', '13', 'daili', 'flight', 'doha', 'transport', 'footbal', 'fan', 'attend', 'fifa', 'world', 'cup', 'qatar', '2022', 'number', 'flight', 'would', 'decreas', 'tournament', 'progress']"
2,love football hate injustice modern football,"['love', 'footbal', 'hate', 'injustic', 'modern', 'footbal']"
0,fifa world cup qatar 2022 countdown 80 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '80', 'day', 'kick']"
1,stadiums earning gsas added records success director stadium 974,"['stadium', 'earn', 'gsa', 'ad', 'record', 'success', 'director', 'stadium', '974']"
1,supreme committee delivery amp legacy sc launched qatar media portal new digital platform give media broadcasters attending fifa world cup qatar 2022,"['suprem', 'committe', 'deliveri', 'amp', 'legaci', 'sc', 'launch', 'qatar', 'media', 'portal', 'new', 'digit', 'platform', 'give', 'media', 'broadcast', 'attend', 'fifa', 'world', 'cup', 'qatar', '2022']"
2,turning first anti fan world cup everyone going get tested dubai going qatar game guaranteed miss game days dubai amp travelling plane doha,"['turn', 'first', 'anti', 'fan', 'world', 'cup', 'everyon', 'go', 'get', 'test', 'dubai', 'go', 'qatar', 'game', 'guarante', 'miss', 'game', 'day', 'dubai', 'amp', 'travel', 'plane', 'doha']"
1,kuwait airways announces operation 13 commercial flights daily qatari capital doha transport fans wishing attend fifa world cup qatar 2022 matches cup 2022,"['kuwait', 'airway', 'announc', 'oper', '13', 'commerci', 'flight', 'daili', 'qatari', 'capit', 'doha', 'transport', 'fan', 'wish', 'attend', 'fifa', 'world', 'cup', 'qatar', '2022', 'match', 'cup', '2022']"
1,new software surely able enjoy uhd 8k broadcasts fifa world cup qatar 2022,"['new', 'softwar', 'sure', 'abl', 'enjoy', 'uhd', '8k', 'broadcast', 'fifa', 'world', 'cup', 'qatar', '2022']"
0,fifa world cup qatar 2022 fun facts know world cup prestigious football tournament world played every four years,"['fifa', 'world', 'cup', 'qatar', '2022', 'fun', 'fact', 'know', 'world', 'cup', 'prestigi', 'footbal', 'tournament', 'world', 'play', 'everi', 'four', 'year']"
2,advance fifa qatar 2022 icao working closely states region help assure optimization flow significant international air traffic expected small update recent developments,"['advanc', 'fifa', 'qatar', '2022', 'icao', 'work', 'close', 'state', 'region', 'help', 'assur', 'optim', 'flow', 'signific', 'intern', 'air', 'traffic', 'expect', 'small', 'updat', 'recent', 'develop']"
1,journey begun next stop greatest football event earth 2022,"['journey', 'begun', 'next', 'stop', 'greatest', 'footbal', 'event', 'earth', '2022']"
1,fifa world cup qatar 2022 director stadium 974 speaking qna stadiums earning gsas added records success,"['fifa', 'world', 'cup', 'qatar', '2022', 'director', 'stadium', '974', 'speak', 'qna', 'stadium', 'earn', 'gsa', 'ad', 'record', 'success']"
1,excited events happening world cup,"['excit', 'event', 'happen', 'world', 'cup']"
1,fifa world cup vip hospitality pavilion sold qatar 2022 2 1m,"['fifa', 'world', 'cup', 'vip', 'hospit', 'pavilion', 'sold', 'qatar', '2022', '2', '1m']"
2,forget airbnb normal accommodation rent expats become unaffordable cost living last months become unbearable expats,"['forget', 'airbnb', 'normal', 'accommod', 'rent', 'expat', 'becom', 'unafford', 'cost', 'live', 'last', 'month', 'becom', 'unbear', 'expat']"
2,panini fifa world cup qatar 2022 stickers pick choose missing numbers via uk,"['panini', 'fifa', 'world', 'cup', 'qatar', '2022', 'sticker', 'pick', 'choos', 'miss', 'number', 'via', 'uk']"
1,im back help people complete panini fifa world cup qatar 2022 sticker albums updating profile pic banner asap spread word,"['im', 'back', 'help', 'peopl', 'complet', 'panini', 'fifa', 'world', 'cup', 'qatar', '2022', 'sticker', 'album', 'updat', 'profil', 'pic', 'banner', 'asap', 'spread', 'word']"
1,excited visit cool stadium cant believe im coming,"['excit', 'visit', 'cool', 'stadium', 'cant', 'believ', 'im', 'come']"
1,celebrity photographer rohan shrestha wait experience fifa world cup join amp experience thrill football contact us official hospitality packages,"['celebr', 'photograph', 'rohan', 'shrestha', 'wait', 'experi', 'fifa', 'world', 'cup', 'join', 'amp', 'experi', 'thrill', 'footbal', 'contact', 'us', 'offici', 'hospit', 'packag']"
0,fifa world cup final tickets sale,"['fifa', 'world', 'cup', 'final', 'ticket', 'sale']"
2,smoking guns tobacco fifa world cup qatar 2022,"['smoke', 'gun', 'tobacco', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,great see official launch fifa world cup qatar 2022 take place today,"['great', 'see', 'offici', 'launch', 'fifa', 'world', 'cup', 'qatar', '2022', 'take', 'place', 'today']"
0,remember official launch fifa world cup qatar 2022 take place today,"['rememb', 'offici', 'launch', 'fifa', 'world', 'cup', 'qatar', '2022', 'take', 'place', 'today']"
2,world cup fans unprepared dangers,"['world', 'cup', 'fan', 'unprepar', 'danger']"
2,flow air traffic part middle east sometimes busiest earth coincidence establishment new doha fir take place months fifa world cup qatar 2022 skies even busier,"['flow', 'air', 'traffic', 'part', 'middl', 'east', 'sometim', 'busiest', 'earth', 'coincid', 'establish', 'new', 'doha', 'fir', 'take', 'place', 'month', 'fifa', 'world', 'cup', 'qatar', '2022', 'sky', 'even', 'busier']"
1,974 first fully demountable tournament stadium world cup history stadium awarded five star rating design amp build class rating gsas construction management,"['974', 'first', 'fulli', 'demount', 'tournament', 'stadium', 'world', 'cup', 'histori', 'stadium', 'award', 'five', 'star', 'rate', 'design', 'amp', 'build', 'class', 'rate', 'gsa', 'construct', 'manag']"
0,david beckham backlash qatar 2022 fifa world cup video,"['david', 'beckham', 'backlash', 'qatar', '2022', 'fifa', 'world', 'cup', 'video']"
2,claim lost baggage doha airport,"['claim', 'lost', 'baggag', 'doha', 'airport']"
1,qiib visa launch fifa world cup qatar 2022 promotional campaign,"['qiib', 'visa', 'launch', 'fifa', 'world', 'cup', 'qatar', '2022', 'promot', 'campaign']"
2,uba offers expense paid trip fifa world cup qatar 2022,"['uba', 'offer', 'expens', 'paid', 'trip', 'fifa', 'world', 'cup', 'qatar', '2022']"
2,doesnt get much better,"['doesnt', 'get', 'much', 'better']"
1,elegant poetic display completed away kit unveiled features return another classic red white jersey history amp culture theme 2022 wc,"['eleg', 'poetic', 'display', 'complet', 'away', 'kit', 'unveil', 'featur', 'return', 'anoth', 'classic', 'red', 'white', 'jersey', 'histori', 'amp', 'cultur', 'theme', '2022', 'wc']"
1,fifa world cup qatar 2022 stadium 974 earns five star sustainability rating,"['fifa', 'world', 'cup', 'qatar', '2022', 'stadium', '974', 'earn', 'five', 'star', 'sustain', 'rate']"
1,doubt amazing unique world cup simply wait board fight,"['doubt', 'amaz', 'uniqu', 'world', 'cup', 'simpli', 'wait', 'board', 'fight']"
1,ambassador rap artist social media star wessam qutob excited share qatar fifa world cup journey millions followers,"['ambassador', 'rap', 'artist', 'social', 'media', 'star', 'wessam', 'qutob', 'excit', 'share', 'qatar', 'fifa', 'world', 'cup', 'journey', 'million', 'follow']"
1,hoteliers travel agencies say move introduce multiple entry tourist visa fans attending world cup 2022 give massive boost tourism country,"['hoteli', 'travel', 'agenc', 'say', 'move', 'introduc', 'multipl', 'entri', 'tourist', 'visa', 'fan', 'attend', 'world', 'cup', '2022', 'give', 'massiv', 'boost', 'tourism', 'countri']"
2,fake website roaming internet making people think purchase tickets,"['fake', 'websit', 'roam', 'internet', 'make', 'peopl', 'think', 'purchas', 'ticket']"
0,fifa world cup qatar 2022 countdown 81 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '81', 'day', 'kick']"
1,qatar fifa world cup venue stadium 974 receives 5 star rating design build class rating construction management per global sustainability assessment system gsas wednesday eight fifa world cup qatar 2022 venues gsas certified,"['qatar', 'fifa', 'world', 'cup', 'venu', 'stadium', '974', 'receiv', '5', 'star', 'rate', 'design', 'build', 'class', 'rate', 'construct', 'manag', 'per', 'global', 'sustain', 'assess', 'system', 'gsa', 'wednesday', 'eight', 'fifa', 'world', 'cup', 'qatar', '2022', 'venu', 'gsa', 'certifi']"
1,fifa world cup qatar 2022 fun facts know winning country world cup receives gold plated replica solid gold trophy player team receives medal,"['fifa', 'world', 'cup', 'qatar', '2022', 'fun', 'fact', 'know', 'win', 'countri', 'world', 'cup', 'receiv', 'gold', 'plate', 'replica', 'solid', 'gold', 'trophi', 'player', 'team', 'receiv', 'medal']"
1,vivo official smartphone fifa world cup qatar 2022 let us accompany every glorious moment fifa world cup qatar 2022,"['vivo', 'offici', 'smartphon', 'fifa', 'world', 'cup', 'qatar', '2022', 'let', 'us', 'accompani', 'everi', 'gloriou', 'moment', 'fifa', 'world', 'cup', 'qatar', '2022']"
2,way buy tickets fifa world cup qatar 2022 via official fifa world cup website worldwide demand expected high fraudsters looking take advantage unsuspecting fans,"['way', 'buy', 'ticket', 'fifa', 'world', 'cup', 'qatar', '2022', 'via', 'offici', 'fifa', 'world', 'cup', 'websit', 'worldwid', 'demand', 'expect', 'high', 'fraudster', 'look', 'take', 'advantag', 'unsuspect', 'fan']"
2,uba offers expense paid trip fifa world cup qatar 2022 sun nigeria,"['uba', 'offer', 'expens', 'paid', 'trip', 'fifa', 'world', 'cup', 'qatar', '2022', 'sun', 'nigeria']"
2,four qatar 2022 fifa world cup sponsors addressing migrant worker risk read demarco,"['four', 'qatar', '2022', 'fifa', 'world', 'cup', 'sponsor', 'address', 'migrant', 'worker', 'risk', 'read', 'demarco']"
2,world cup windfall uae woos football fans multi entry visas read,"['world', 'cup', 'windfal', 'uae', 'woo', 'footbal', 'fan', 'multi', 'entri', 'visa', 'read']"
2,every four years panini creates sticker album fifa world cup soccer fans thrilled getting scammed online fake qatar 2022 albums,"['everi', 'four', 'year', 'panini', 'creat', 'sticker', 'album', 'fifa', 'world', 'cup', 'soccer', 'fan', 'thrill', 'get', 'scam', 'onlin', 'fake', 'qatar', '2022', 'album']"
1,uae announces multi entry tourist visa fifa world cup qatar 2022,"['uae', 'announc', 'multi', 'entri', 'tourist', 'visa', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,hosting fifa world cup helping qatar efforts empower women,"['host', 'fifa', 'world', 'cup', 'help', 'qatar', 'effort', 'empow', 'women']"
1,uae announces multiple entry tourist visa people attending fifa world cup qatar 2022,"['uae', 'announc', 'multipl', 'entri', 'tourist', 'visa', 'peopl', 'attend', 'fifa', 'world', 'cup', 'qatar', '2022']"
2,love football hate injustice modern football via time losers,"['love', 'footbal', 'hate', 'injustic', 'modern', 'footbal', 'via', 'time', 'loser']"
0,fifa world cup qatar 2022 countdown 82 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '82', 'day', 'kick']"
1,count till 22 lusail capacity 86 000 spectators built host match open close 2022 wc finals modern technology 2022,"['count', 'till', '22', 'lusail', 'capac', '86', '000', 'spectat', 'built', 'host', 'match', 'open', 'close', '2022', 'wc', 'final', 'modern', 'technolog', '2022']"
1,architect luke fox lusail stadium expresses image creativity innovation,"['architect', 'luke', 'fox', 'lusail', 'stadium', 'express', 'imag', 'creativ', 'innov']"
2,buy fifa world cup qatar 2022 tickets get reality check humanity religion,"['buy', 'fifa', 'world', 'cup', 'qatar', '2022', 'ticket', 'get', 'realiti', 'check', 'human', 'religion']"
1,director general organization committed working state qatar fifa harness global power football help people live healthier lives fifa world cup qatar 2022 cup 2022,"['director', 'gener', 'organ', 'commit', 'work', 'state', 'qatar', 'fifa', 'har', 'global', 'power', 'footbal', 'help', 'peopl', 'live', 'healthier', 'live', 'fifa', 'world', 'cup', 'qatar', '2022', 'cup', '2022']"
1,working closely help make global celebration football beacon health safety ensuring stadiums smoke free banning types tobacco marketing,"['work', 'close', 'help', 'make', 'global', 'celebr', 'footbal', 'beacon', 'health', 'safeti', 'ensur', 'stadium', 'smoke', 'free', 'ban', 'type', 'tobacco', 'market']"
1,fifa world cup approaches business jet operators experiencing increased demand ground handling arrangements transfer services hotel accommodations private jet charters passengers,"['fifa', 'world', 'cup', 'approach', 'busi', 'jet', 'oper', 'experienc', 'increas', 'demand', 'ground', 'handl', 'arrang', 'transfer', 'servic', 'hotel', 'accommod', 'privat', 'jet', 'charter', 'passeng']"
0,adidas reveals home away federation kits created national teams argentina germany japan mexico spain worn world biggest sporting stage fifa world cup 2022,"['adida', 'reveal', 'home', 'away', 'feder', 'kit', 'creat', 'nation', 'team', 'argentina', 'germani', 'japan', 'mexico', 'spain', 'worn', 'world', 'biggest', 'sport', 'stage', 'fifa', 'world', 'cup', '2022']"
0,82 days qatar 2022 fifa world cup follow link know world cup tournament organized fifa,"['82', 'day', 'qatar', '2022', 'fifa', 'world', 'cup', 'follow', 'link', 'know', 'world', 'cup', 'tournament', 'organ', 'fifa']"
1,country continues prepare hosting fifa world cup qatar 2022 tourism sector state risen loosening travel restrictions across country according latest quarterly report qatar,"['countri', 'continu', 'prepar', 'host', 'fifa', 'world', 'cup', 'qatar', '2022', 'tourism', 'sector', 'state', 'risen', 'loosen', 'travel', 'restrict', 'across', 'countri', 'accord', 'latest', 'quarterli', 'report', 'qatar']"
1,luxury car rentals limousine companies leveraged fifa world cup qatar 2022 grow business several offers visiting fans planning host friends family,"['luxuri', 'car', 'rental', 'limousin', 'compani', 'leverag', 'fifa', 'world', 'cup', 'qatar', '2022', 'grow', 'busi', 'sever', 'offer', 'visit', 'fan', 'plan', 'host', 'friend', 'famili']"
1,world cup fever spreads qatar middle east tourism boom,"['world', 'cup', 'fever', 'spread', 'qatar', 'middl', 'east', 'tourism', 'boom']"
0,250 pack might win either fifa world cup qatar 2022 game tickets flights qatar player stickers lmk,"['250', 'pack', 'might', 'win', 'either', 'fifa', 'world', 'cup', 'qatar', '2022', 'game', 'ticket', 'flight', 'qatar', 'player', 'sticker', 'lmk']"
1,public works authority completed 2km rainwater drainage network works around al arabi sports club one training venues fifa world cup qatar 2022 teams,"['public', 'work', 'author', 'complet', '2km', 'rainwat', 'drainag', 'network', 'work', 'around', 'al', 'arabi', 'sport', 'club', 'one', 'train', 'venu', 'fifa', 'world', 'cup', 'qatar', '2022', 'team']"
1,moph qatar minister world cup platform promote health qatar world,"['moph', 'qatar', 'minist', 'world', 'cup', 'platform', 'promot', 'health', 'qatar', 'world']"
1,minister public health world cup platform promote health qatar world cup 2022,"['minist', 'public', 'health', 'world', 'cup', 'platform', 'promot', 'health', 'qatar', 'world', 'cup', '2022']"
1,months go supreme committee delivery amp legacy met saudi fans riyadh discuss process booking accommodation issuing hayya card,"['month', 'go', 'suprem', 'committe', 'deliveri', 'amp', 'legaci', 'met', 'saudi', 'fan', 'riyadh', 'discuss', 'process', 'book', 'accommod', 'issu', 'hayya', 'card']"
0,83 days fifa world cup qatar 2022,"['83', 'day', 'fifa', 'world', 'cup', 'qatar', '2022']"
2,hayya card meaning lets go arabic soon offer facilitated exceptional access unlocking regions riches fans,"['hayya', 'card', 'mean', 'let', 'go', 'arab', 'soon', 'offer', 'facilit', 'except', 'access', 'unlock', 'region', 'rich', 'fan']"
